,run_name,clean_name,mech_string,dataset,optimisation,drop,target_rate,matrix,emb,mem,run_id,efficient_epochs,max pareto logged epoch,n_checkpoints,checkpoints
16,2021-05-24-PTB | CYC-FB-0.5 | matrix-memory | DROP 40-run-19:30:07,PTB | CYC-FB-0.5 | matrix+mem | DROP 40,matrix+mem,PTB,CYC-FB-0.5,0.4,0.5,True,False,True,3h8z6smj,,,3,"['checkpoint-epoch-006-step-7364-iw-ll_095.pth', 'checkpoint-epoch-012-step-13676-iw-ll_093.pth', 'checkpoint-epoch-013-step-14728-iw-ll_093.pth']"
17,2021-05-27-YELP | VAE | matrix-memory-run-09:57:46,YELP | VAE | matrix+mem,matrix+mem,YELP,VAE,0.0,0.0,True,False,True,14lb1no4,,,5,"['checkpoint-epoch-005-step-60006-iw-ll_178.pth', 'checkpoint-epoch-006-step-70007-iw-ll_179.pth', 'checkpoint-epoch-007-step-80008-iw-ll_180.pth', 'checkpoint-epoch-008-step-90009-iw-ll_187.pth', 'checkpoint-epoch-009-step-100010-iw-ll_175.pth']"
18,2021-05-30-YELP | MDR-0.5 | matrix-run-23:55:12,YELP | MDR-0.5 | matrix,matrix,YELP,MDR-0.5,0.0,0.5,True,False,False,3ncoyr8v,,,2,"['checkpoint-epoch-008-step-90009-iw-ll_189.pth', 'checkpoint-epoch-009-step-100010-iw-ll_177.pth']"
19,2021-06-03-PTB | AE | memory-run-03:50:11,PTB | AE | mem,mem,PTB,AE,0.0,-0.0,False,False,True,2nutvc0x,,,5,"['checkpoint-epoch-000-step-329-iw-ll_098.pth', 'checkpoint-epoch-001-step-658-iw-ll_096.pth', 'checkpoint-epoch-002-step-987-iw-ll_184.pth', 'checkpoint-epoch-003-step-1316-iw-ll_214.pth', 'checkpoint-epoch-004-step-1645-iw-ll_226.pth']"
20,2021-05-22-PTB | MDR-0.5 | memory-run-14:01:39,PTB | MDR-0.5 | mem,mem,PTB,MDR-0.5,0.0,0.5,False,False,True,3mghlxgl,,,1,['checkpoint-epoch-002-step-987-iw-ll_088.pth']
21,2021-05-22-PTB | MDR-0.5 | memory | DROP 40-run-20:01:49,PTB | MDR-0.5 | mem | DROP 40,mem,PTB,MDR-0.5,0.4,0.5,False,False,True,1i5k3r88,,,2,"['checkpoint-epoch-000-step-329-iw-ll_101.pth', 'checkpoint-epoch-001-step-658-iw-ll_096.pth']"
22,2021-05-22-PTB | MDR-0.5 | memory-embeddings-run-20:03:20,PTB | MDR-0.5 | mem+emb,mem+emb,PTB,MDR-0.5,0.0,0.5,False,True,True,2yif94d1,,,5,"['checkpoint-epoch-009-step-3290-iw-ll_089.pth', 'checkpoint-epoch-011-step-3948-iw-ll_091.pth', 'checkpoint-epoch-013-step-4606-iw-ll_091.pth', 'checkpoint-epoch-014-step-4935-iw-ll_090.pth', 'checkpoint-epoch-015-step-5264-iw-ll_089.pth']"
23,2021-05-22-PTB | MDR-0.5 | memory-embeddings | DROP 40-run-20:58:03,PTB | MDR-0.5 | mem+emb | DROP 40,mem+emb,PTB,MDR-0.5,0.4,0.5,False,True,True,1g74n9sz,,,3,"['checkpoint-epoch-015-step-5264-iw-ll_088.pth', 'checkpoint-epoch-017-step-5922-iw-ll_087.pth', 'checkpoint-epoch-018-step-6251-iw-ll_088.pth']"
24,2021-05-24-PTB | MDR-0.5 | matrix-run-20:53:36,PTB | MDR-0.5 | matrix,matrix,PTB,MDR-0.5,0.0,0.5,True,False,False,3cwta6vu,,,4,"['checkpoint-epoch-001-step-2104-iw-ll_097.pth', 'checkpoint-epoch-002-step-3156-iw-ll_097.pth', 'checkpoint-epoch-003-step-4208-iw-ll_098.pth', 'checkpoint-epoch-007-step-8416-iw-ll_091.pth']"
25,2021-05-26-YELP | VAE | matrix | DROP 40-run-20:35:14,YELP | VAE | matrix | DROP 40,matrix,YELP,VAE,0.4,0.0,True,False,False,8rpvbxdn,,,3,"['checkpoint-epoch-003-step-40004-iw-ll_189.pth', 'checkpoint-epoch-008-step-90009-iw-ll_192.pth', 'checkpoint-epoch-009-step-100010-iw-ll_180.pth']"
26,2021-05-30-YELP | CYC-FB-0.5 | matrix-memory | DROP 40-run-07:54:33,YELP | CYC-FB-0.5 | matrix+mem | DROP 40,matrix+mem,YELP,CYC-FB-0.5,0.4,0.5,True,False,True,kruudlyd,,,4,"['checkpoint-epoch-004-step-50005-iw-ll_192.pth', 'checkpoint-epoch-007-step-80008-iw-ll_190.pth', 'checkpoint-epoch-008-step-90009-iw-ll_198.pth', 'checkpoint-epoch-009-step-100010-iw-ll_188.pth']"
27,2021-06-01-PTB | VAE | matrix-memory-run-02:05:15,PTB | VAE | matrix+mem,matrix+mem,PTB,VAE,0.0,0.0,True,False,True,1txyvlfg,,,4,"['checkpoint-epoch-002-step-3156-iw-ll_090.pth', 'checkpoint-epoch-006-step-7364-iw-ll_088.pth', 'checkpoint-epoch-007-step-8416-iw-ll_086.pth', 'checkpoint-epoch-015-step-16832-iw-ll_087.pth']"
28,2021-05-22-YELP | VAE | memory-run-23:33:15,YELP | VAE | mem,mem,YELP,VAE,0.0,0.0,False,False,True,1xzlf0jq,,,3,"['checkpoint-epoch-002-step-15237-iw-ll_176.pth', 'checkpoint-epoch-003-step-20316-iw-ll_182.pth', 'checkpoint-epoch-006-step-35553-iw-ll_176.pth']"
29,2021-05-23-YELP | VAE | memory | DROP 40-run-06:24:30,YELP | VAE | mem | DROP 40,mem,YELP,VAE,0.4,0.0,False,False,True,3hgi7s5z,,,2,"['checkpoint-epoch-006-step-35553-iw-ll_181.pth', 'checkpoint-epoch-007-step-40632-iw-ll_178.pth']"
30,2021-05-23-YELP | VAE | memory-embeddings-run-07:33:28,YELP | VAE | mem+emb,mem+emb,YELP,VAE,0.0,0.0,False,True,True,37nq0714,,,3,"['checkpoint-epoch-003-step-20316-iw-ll_182.pth', 'checkpoint-epoch-006-step-35553-iw-ll_176.pth', 'checkpoint-epoch-007-step-40632-iw-ll_174.pth']"
31,2021-05-23-YELP | VAE | memory-embeddings | DROP 40-run-09:15:07,YELP | VAE | mem+emb | DROP 40,mem+emb,YELP,VAE,0.4,0.0,False,True,True,1w5j6ty6,,,1,['checkpoint-epoch-006-step-35553-iw-ll_181.pth']
32,2021-05-24-PTB | MDR-0.5 | matrix | DROP 40-run-21:32:54,PTB | MDR-0.5 | matrix | DROP 40,matrix,PTB,MDR-0.5,0.4,0.5,True,False,False,2ibo6mhy,,,3,"['checkpoint-epoch-002-step-3156-iw-ll_102.pth', 'checkpoint-epoch-010-step-11572-iw-ll_091.pth', 'checkpoint-epoch-015-step-16832-iw-ll_086.pth']"
33,2021-05-28-YELP | VAE | matrix-memory | DROP 40-run-04:12:08,YELP | VAE | matrix+mem | DROP 40,matrix+mem,YELP,VAE,0.4,0.0,True,False,True,3q0dg03t,,,3,"['checkpoint-epoch-005-step-60006-iw-ll_184.pth', 'checkpoint-epoch-008-step-90009-iw-ll_193.pth', 'checkpoint-epoch-009-step-100010-iw-ll_180.pth']"
34,2021-05-31-YELP | MDR-0.5 | matrix-memory-run-05:56:38,YELP | MDR-0.5 | matrix+mem,matrix+mem,YELP,MDR-0.5,0.0,0.5,True,False,True,103jjozr,,,3,"['checkpoint-epoch-004-step-50005-iw-ll_182.pth', 'checkpoint-epoch-008-step-90009-iw-ll_188.pth', 'checkpoint-epoch-009-step-100010-iw-ll_176.pth']"
35,2021-05-23-YELP | CYC-FB-0.5 | memory-run-10:56:31,YELP | CYC-FB-0.5 | mem,mem,YELP,CYC-FB-0.5,0.0,0.5,False,False,True,1j7vxbf7,,,3,"['checkpoint-epoch-004-step-25395-iw-ll_184.pth', 'checkpoint-epoch-005-step-30474-iw-ll_187.pth', 'checkpoint-epoch-006-step-35553-iw-ll_183.pth']"
36,2021-05-23-YELP | CYC-FB-0.5 | memory | DROP 40-run-17:15:59,YELP | CYC-FB-0.5 | mem | DROP 40,mem,YELP,CYC-FB-0.5,0.4,0.5,False,False,True,2ah185pc,,,4,"['checkpoint-epoch-001-step-10158-iw-ll_196.pth', 'checkpoint-epoch-002-step-15237-iw-ll_188.pth', 'checkpoint-epoch-005-step-30474-iw-ll_193.pth', 'checkpoint-epoch-006-step-35553-iw-ll_192.pth']"
37,2021-05-23-YELP | CYC-FB-0.5 | memory-embeddings-run-18:19:10,YELP | CYC-FB-0.5 | mem+emb,mem+emb,YELP,CYC-FB-0.5,0.0,0.5,False,True,True,3no83sod,,,3,"['checkpoint-epoch-002-step-15237-iw-ll_181.pth', 'checkpoint-epoch-005-step-30474-iw-ll_187.pth', 'checkpoint-epoch-006-step-35553-iw-ll_185.pth']"
38,2021-05-23-YELP | CYC-FB-0.5 | memory-embeddings | DROP 40-run-18:57:08,YELP | CYC-FB-0.5 | mem+emb | DROP 40,mem+emb,YELP,CYC-FB-0.5,0.4,0.5,False,True,True,1m9rzsvp,,,3,"['checkpoint-epoch-002-step-15237-iw-ll_188.pth', 'checkpoint-epoch-005-step-30474-iw-ll_193.pth', 'checkpoint-epoch-006-step-35553-iw-ll_191.pth']"
39,2021-05-23-YELP | MDR-0.5 | memory-run-19:38:13,YELP | MDR-0.5 | mem,mem,YELP,MDR-0.5,0.0,0.5,False,False,True,3ib4xjy1,,,1,['checkpoint-epoch-006-step-35553-iw-ll_176.pth']
40,2021-05-23-YELP | MDR-0.5 | memory | DROP 40-run-20:10:35,YELP | MDR-0.5 | mem | DROP 40,mem,YELP,MDR-0.5,0.4,0.5,False,False,True,8n0nwg4s,,,1,['checkpoint-epoch-006-step-35553-iw-ll_181.pth']
41,2021-05-23-YELP | MDR-0.5 | memory-embeddings-run-20:52:29,YELP | MDR-0.5 | mem+emb,mem+emb,YELP,MDR-0.5,0.0,0.5,False,True,True,o9nr37ra,,,2,"['checkpoint-epoch-004-step-25395-iw-ll_179.pth', 'checkpoint-epoch-006-step-35553-iw-ll_176.pth']"
42,2021-05-24-PTB | VAE | matrix-run-11:05:20,PTB | VAE | matrix,matrix,PTB,VAE,0.0,0.0,True,False,False,1nofwcnd,,,5,"['checkpoint-epoch-000-step-1052-iw-ll_094.pth', 'checkpoint-epoch-001-step-2104-iw-ll_091.pth', 'checkpoint-epoch-002-step-3156-iw-ll_090.pth', 'checkpoint-epoch-006-step-7364-iw-ll_088.pth', 'checkpoint-epoch-007-step-8416-iw-ll_085.pth']"
43,2021-05-24-PTB | VAE | matrix | DROP 40-run-12:08:05,PTB | VAE | matrix | DROP 40,matrix,PTB,VAE,0.4,0.0,True,False,False,d637sg6r,,,5,"['checkpoint-epoch-000-step-1052-iw-ll_099.pth', 'checkpoint-epoch-001-step-2104-iw-ll_096.pth', 'checkpoint-epoch-002-step-3156-iw-ll_094.pth', 'checkpoint-epoch-006-step-7364-iw-ll_090.pth', 'checkpoint-epoch-007-step-8416-iw-ll_087.pth']"
44,2021-05-31-PTB | CYC-FB-0.5 | matrix-run-17:33:15,PTB | CYC-FB-0.5 | matrix,matrix,PTB,CYC-FB-0.5,0.0,0.5,True,False,False,3trnn533,,,5,"['checkpoint-epoch-000-step-1052-iw-ll_096.pth', 'checkpoint-epoch-001-step-2104-iw-ll_094.pth', 'checkpoint-epoch-002-step-3156-iw-ll_093.pth', 'checkpoint-epoch-003-step-4208-iw-ll_095.pth', 'checkpoint-epoch-007-step-8416-iw-ll_090.pth']"
45,2021-05-24-PTB | VAE | matrix-memory | DROP 40-run-15:34:33,PTB | VAE | matrix+mem | DROP 40,matrix+mem,PTB,VAE,0.4,0.0,True,False,True,212jxbx2,,,4,"['checkpoint-epoch-007-step-8416-iw-ll_087.pth', 'checkpoint-epoch-010-step-11572-iw-ll_086.pth', 'checkpoint-epoch-015-step-16832-iw-ll_082.pth', 'checkpoint-epoch-019-step-21040-iw-ll_085.pth']"
46,2021-05-26-PTB | MDR-0.5 | matrix-memory | DROP 40-run-09:00:48,PTB | MDR-0.5 | matrix+mem | DROP 40,matrix+mem,PTB,MDR-0.5,0.4,0.5,True,False,True,212663lx,,,3,"['checkpoint-epoch-012-step-13676-iw-ll_090.pth', 'checkpoint-epoch-013-step-14728-iw-ll_090.pth', 'checkpoint-epoch-015-step-16832-iw-ll_084.pth']"
47,2021-05-29-YELP | CYC-FB-0.5 | matrix | DROP 40-run-08:07:49,YELP | CYC-FB-0.5 | matrix | DROP 40,matrix,YELP,CYC-FB-0.5,0.4,0.5,True,False,False,2ery1ips,,,3,"['checkpoint-epoch-007-step-80008-iw-ll_191.pth', 'checkpoint-epoch-008-step-90009-iw-ll_199.pth', 'checkpoint-epoch-009-step-100010-iw-ll_188.pth']"
48,2021-06-01-PTB | CYC-FB-0.5 | matrix | DROP 40-run-03:33:38,PTB | CYC-FB-0.5 | matrix | DROP 40,matrix,PTB,CYC-FB-0.5,0.4,0.5,True,False,False,3c1bxvz0,,,5,"['checkpoint-epoch-001-step-2104-iw-ll_098.pth', 'checkpoint-epoch-002-step-3156-iw-ll_097.pth', 'checkpoint-epoch-003-step-4208-iw-ll_098.pth', 'checkpoint-epoch-006-step-7364-iw-ll_095.pth', 'checkpoint-epoch-007-step-8416-iw-ll_092.pth']"
49,2021-06-02-YELP | DECODER-ONLY-run-13:01:04,YELP | DEC-ONLY | ,,YELP,DEC-ONLY,0.0,-0.0,False,False,False,2zsjim5c,,,1,['checkpoint-epoch-002-step-15237-iw-ll_000.pth']
